time_s,h_plus,h_cross,amplitude,frequency_Hz
1.7800356007e-03,-3.2407944053e-22,-1.1334495040e-22,3.4332864948e-22,30.166637
1.8000360007e-03,-3.2366096034e-22,-1.1457748426e-22,3.4334300219e-22,30.168529
1.8200364007e-03,-3.2323776777e-22,-1.1580855195e-22,3.4335735789e-22,30.170421
1.8400368007e-03,-3.2280986760e-22,-1.1703813539e-22,3.4337171659e-22,30.172314
1.8600372007e-03,-3.2237726471e-22,-1.1826621650e-22,3.4338607830e-22,30.174207
1.8800376008e-03,-3.2193996404e-22,-1.1949277723e-22,3.4340044301e-22,30.176100
1.9000380008e-03,-3.2149797060e-22,-1.2071779953e-22,3.4341481072e-22,30.177994
1.9200384008e-03,-3.2105128946e-22,-1.2194126539e-22,3.4342918144e-22,30.179888
1.9400388008e-03,-3.2059992576e-22,-1.2316315678e-22,3.4344355517e-22,30.181783
1.9600392008e-03,-3.2014388473e-22,-1.2438345573e-22,3.4345793191e-22,30.183678
1.9800396008e-03,-3.1968317165e-22,-1.2560214423e-22,3.4347231166e-22,30.185574
2.0000400008e-03,-3.1921779187e-22,-1.2681920434e-22,3.4348669441e-22,30.187470
2.0200404008e-03,-3.1874775082e-22,-1.2803461811e-22,3.4350108018e-22,30.189366
2.0400408008e-03,-3.1827305398e-22,-1.2924836759e-22,3.4351546897e-22,30.191263
2.0600412008e-03,-3.1779370693e-22,-1.3046043489e-22,3.4352986076e-22,30.193161
2.0800416008e-03,-3.1730971528e-22,-1.3167080210e-22,3.4354425557e-22,30.195058
2.1000420008e-03,-3.1682108474e-22,-1.3287945134e-22,3.4355865340e-22,30.196957
2.1200424008e-03,-3.1632782108e-22,-1.3408636476e-22,3.4357305425e-22,30.198855
2.1400428009e-03,-3.1582993014e-22,-1.3529152450e-22,3.4358745811e-22,30.200754
2.1600432009e-03,-3.1532741781e-22,-1.3649491274e-22,3.4360186500e-22,30.202654
2.1800436009e-03,-3.1482029009e-22,-1.3769651167e-22,3.4361627490e-22,30.204554
2.2000440009e-03,-3.1430855300e-22,-1.3889630351e-22,3.4363068783e-22,30.206454
2.2200444009e-03,-3.1379221267e-22,-1.4009427048e-22,3.4364510378e-22,30.208355
2.2400448009e-03,-3.1327127527e-22,-1.4129039483e-22,3.4365952275e-22,30.210256
2.2600452009e-03,-3.1274574705e-22,-1.4248465884e-22,3.4367394475e-22,30.212158
