Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE,x1_Newton,y1_Newton,x2_Newton,y2_Newton,x3_Newton,y3_Newton,dx1_1000,dy1_1000,dx2_1000,dy2_1000,dx3_1000,dy3_1000
2400000.000,+7186752.372168,+640298.973822,-4848071.942942,+7377610.008894,-2323762.977378,-8025900.064451,-71781.198659,-661273.360073,+7527709.591116,-7979752.306062,-7455928.392457,+8641025.666132,-45.651,+18.744,+19.366,-13.785,+26.982,-4.830
2500000.000,+7486200.538699,+666978.136472,-5050075.023152,+7685010.581914,-2420586.502880,-8360312.761909,-74771.933474,-688826.470963,+7841363.943506,-8312241.802410,-7766592.010031,+9001068.273372,-47.556,+19.524,+20.173,-14.360,+28.107,-5.031
2600000.000,+7785648.705648,+693657.299191,-5252078.103599,+7992411.155236,-2517410.028558,-8694725.459733,-77762.668099,-716379.581915,+8155018.295174,-8644731.298043,-8077255.627077,+9361110.879959,-49.456,+20.306,+20.976,-14.936,+29.230,-5.237
2700000.000,+8085096.872976,+720336.461973,-5454081.184269,+8299811.728838,-2614233.554394,-9029138.157903,-80753.402548,-743932.692926,+8468672.646177,-8977220.793022,-8387919.243631,+9721153.485949,-51.359,+21.086,+21.783,-15.507,+30.354,-5.432
2800000.000,+8384545.040658,+747015.624814,-5656084.265142,+8607212.302698,-2711057.080380,-9363550.856397,-83744.136834,-771485.803990,+8782326.996564,-9309710.287388,-8698582.859730,+10081196.091381,-53.263,+21.867,+22.592,-16.082,+31.479,-5.636
2900000.000,+8683993.208664,+773694.787710,-5858087.346205,+8914612.876791,-2807880.606505,-9697963.555165,-86734.870969,-799038.915105,+9095981.346375,-9642199.781191,-9009246.475412,+10441238.696299,-55.165,+22.649,+23.398,-16.653,+32.602,-5.837
3000000.000,+8983441.376993,+800373.950658,-6060090.427447,+9222013.451103,-2904704.132760,-10032376.254233,-89725.604961,-826592.026265,+9409635.695652,-9974689.274470,-9319910.090697,+10801281.300732,-57.061,+23.429,+24.202,-17.225,+33.727,-6.039
3100000.000,+9282889.545584,+827053.113653,-6262093.508851,+9529414.025625,-3001527.659132,-10366788.953539,-92716.338822,-854145.137470,+9723290.044437,-10307178.767241,-9630573.705611,+11161323.904720,-58.977,+24.210,+25.012,-17.812,+34.852,-6.237
3200000.000,+9582337.714475,+853732.276692,-6464096.590414,+9836814.600350,-3098351.185621,-10701201.653080,-95707.072559,-881698.248715,+10036944.392738,-10639668.259566,-9941237.320178,+11521366.508276,-60.869,+24.991,+25.822,-18.387,+35.976,-6.441
3300000.000,+9881785.883600,+880411.439774,-6666099.672124,+10144215.175257,-3195174.712215,-11035614.352867,-98697.806180,-909251.359998,+10350598.740608,-10972157.751441,-10251900.934429,+11881409.111440,-62.761,+25.772,+26.620,-18.957,+37.099,-6.647
3400000.000,+10181234.052952,+907090.602895,-6868102.753968,+10451615.750345,-3291998.238908,-11370027.052859,-101688.539692,-936804.471317,+10664253.088068,-11304647.242912,-10562564.548378,+12241451.714234,-64.679,+26.553,+27.435,-19.521,+38.223,-6.847
3500000.000,+10480682.222543,+933769.766054,-7070105.835939,+10759016.325597,-3388821.765695,-11704439.753048,-104679.273101,-964357.582670,+10977907.435136,-11637136.734001,-10873228.162030,+12601494.316682,-66.585,+27.334,+28.244,-20.098,+39.348,-7.047
3600000.000,+10780130.392347,+960448.929247,-7272108.918040,+11066416.900999,-3485645.292571,-12038852.453424,-107670.006413,-991910.694055,+11291561.781833,-11969626.224729,-11183891.775420,+12961536.918790,-68.484,+28.115,+29.039,-20.676,+40.472,-7.249
3700000.000,+11079578.562346,+987128.092474,-7474112.000252,+11373817.476533,-3582468.819529,-12373265.153975,-110660.739633,-1019463.805470,+11605216.128182,-12302115.715120,-11494555.388560,+13321579.520582,-70.386,+28.896,+29.851,-21.256,+41.598,-7.452
3800000.000,+11379026.732531,+1013807.255733,-7676115.082571,+11681218.052186,-3679292.346566,-12707677.854690,-113651.472766,-1047016.916914,+11918870.474206,-12634605.205172,-11805219.001440,+13681622.122099,-72.289,+29.677,+30.662,-21.833,+42.720,-7.656
3900000.000,+11678474.902892,+1040486.419020,-7878118.164993,+11988618.628021,-3776115.873682,-13042090.555559,-116642.205817,-1074570.028384,+12232524.819929,-12967094.694919,-12115882.614099,+14041664.723306,-74.194,+30.458,+31.471,-22.396,+43.845,-7.842
4000000.000,+11977923.073418,+1067165.582337,-8080121.247514,+12296019.203951,-3872939.400864,-13376503.256611,-119632.938790,-1102123.139880,+12546179.165333,-13299584.184386,-12426546.226546,+14401707.324269,-76.102,+31.238,+32.280,-22.979,+44.970,-8.047
4100000.000,+12277371.244117,+1093844.745680,-8282124.330130,+12603419.779976,-3969762.928120,-13710915.957798,-122623.671688,-1129676.251401,+12859833.510483,-13632073.673558,-12737209.838786,+14761749.924969,-77.990,+32.020,+33.086,-23.540,+46.094,-8.253
4200000.000,+12576819.414980,+1120523.909049,-8484127.412837,+12910820.356164,-4066586.455437,-14045328.659105,-125614.404516,-1157229.362945,+13173487.855337,-13964563.162477,-13047873.450828,+15121792.525422,-79.875,+32.801,+33.894,-24.123,+47.216,-8.460
4300000.000,+12876267.585981,+1147203.072442,-8686130.495656,+13218220.932398,-4163409.982813,-14379741.360533,-128605.137276,-1184782.474512,+13487142.199951,-14297052.651151,-13358537.062679,+15481835.125654,-81.788,+33.582,+34.639,-24.710,+48.344,-8.646
4400000.000,+13175715.757106,+1173882.235858,-8888133.578475,+13525621.508796,-4260233.510270,-14714154.062129,-131595.869972,-1212335.586101,+13800796.544335,-14629542.139563,-13669200.674349,+15841877.725671,-83.705,+34.364,+35.521,-25.269,+49.468,-8.855
4500000.000,+13475163.928364,+1200561.399297,-9090136.661472,+13833022.085234,-4357057.037748,-15048566.763808,-134586.602607,-1239888.697709,+14114450.888460,-14962031.627754,-13979864.285848,+16201920.325479,-85.599,+35.144,+36.276,-25.858,+50.591,-9.065
4600000.000,+13774612.099783,+1227240.562756,-9292139.744477,+14140422.661818,-4453880.565313,-15382979.465608,-137577.335183,-1267441.809336,+14428105.232369,-15294521.115731,-14290527.897185,+16561962.925085,-87.487,+35.924,+37.070,-26.417,+51.715,-9.252
4700000.000,+14074060.271290,+1253919.726236,-9494142.827556,+14447823.238427,-4550704.092896,-15717392.167535,-140568.067702,-1294994.920979,+14741759.576070,-15627010.603499,-14601191.508372,+16922005.524421,-89.411,+36.703,+37.929,-27.010,+52.845,-9.464
4800000.000,+14373508.442921,+1280598.889733,-9696145.910748,+14755223.815197,-4647527.620560,-16051804.869521,-143558.800168,-1322548.032643,+15055413.919569,-15959500.091066,-14911855.119420,+17282048.123637,-91.287,+37.482,+38.674,-27.569,+53.962,-9.650
4900000.000,+14672956.614684,+1307278.053253,-9898148.993939,+15062624.391967,-4744351.148239,-16386217.571671,-146549.532582,-1350101.144326,+15369068.262872,-16291989.578438,-15222518.730303,+17642090.722712,-93.203,+38.265,+39.512,-28.137,+55.093,-9.865
