Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE
670000000.000,+2613798886.726927,-217420234.550857,-2109128687.664066,+1131617869.474046,-503650538.712810,-915915785.978083
680000000.000,+2652810808.609557,-220665312.578105,-2140608220.382724,+1148507689.572923,-511167710.810970,-929586170.861964
690000000.000,+2691822730.492186,-223910390.605353,-2172087751.237926,+1165397509.671800,-518684882.909129,-943256555.745844
700000000.000,+2730834652.374815,-227155468.632602,-2203567281.572398,+1182287329.770677,-526202055.007289,-956926940.629725
710000000.000,+2769846574.257445,-230400546.659850,-2235046811.906871,+1199177149.869554,-533719227.105449,-970597325.513605
720000000.000,+2808858496.140074,-233645624.687098,-2266526342.241343,+1216066969.968431,-541236399.203609,-984267710.397486
730000000.000,+2847870418.022704,-236890702.714347,-2298005872.575816,+1232956790.067307,-548753571.301769,-997938095.281367
740000000.000,+2886882339.905333,-240135780.741595,-2329485402.910289,+1249846610.166184,-556270743.399928,-1011608480.165247
750000000.000,+2925894261.787962,-243380858.768844,-2360964933.244761,+1266736430.265061,-563787915.498088,-1025278865.049128
760000000.000,+2964906183.670592,-246625936.796092,-2392444463.579234,+1283626250.363938,-571305087.596248,-1038949249.933009
770000000.000,+3003918105.553221,-249871014.823340,-2423923993.913707,+1300516070.462815,-578822259.694408,-1052619634.816889
780000000.000,+3042930027.435851,-253116092.850589,-2455403524.248179,+1317405890.561692,-586339431.792568,-1066290019.700770
790000000.000,+3081941949.318480,-256361170.877837,-2486883054.582652,+1334295710.660569,-593856603.890727,-1079960404.584651
800000000.000,+3120953871.201109,-259606248.905086,-2518362584.917125,+1351185530.759446,-601373775.988887,-1093630789.468531
810000000.000,+3159965793.083739,-262851326.932334,-2549842115.251597,+1368075350.858323,-608890948.087047,-1107301174.352412
820000000.000,+3198977714.966368,-266096404.959582,-2581321645.586070,+1384965170.957200,-616408120.185207,-1120971559.236292
830000000.000,+3237989636.848998,-269341483.070039,-2612801175.920543,+1401854991.056077,-623925292.283367,-1134641944.120173
840000000.000,+3277001558.731627,-272586561.395310,-2644280706.255015,+1418744811.154954,-631442464.381526,-1148312329.004054
850000000.000,+3316013480.614256,-275831639.720582,-2675760236.589488,+1435634631.253831,-638959636.479686,-1161982713.887934
860000000.000,+3355025402.496886,-279076718.045854,-2707239766.923961,+1452524451.352708,-646476808.577846,-1175653098.771815
870000000.000,+3394037324.379515,-282321796.371125,-2738719297.258433,+1469414271.451585,-653993980.676006,-1189323483.655695
880000000.000,+3433049246.262145,-285566874.696397,-2770198827.592906,+1486304091.550462,-661511152.774166,-1202993868.539576
890000000.000,+3472061168.144774,-288811953.021668,-2801678357.927379,+1503193911.649339,-669028324.872325,-1216664253.423457
900000000.000,+3511073090.027403,-292057031.346940,-2833157888.261851,+1520083731.748216,-676545496.970485,-1230334638.307337
910000000.000,+3550085011.910033,-295302109.672212,-2864637418.596324,+1536973551.847093,-684062669.068645,-1244005023.191218
920000000.000,+3589096933.792662,-298547187.997483,-2896116948.930797,+1553863371.945970,-691579841.166805,-1257675408.075099
930000000.000,+3628108855.675292,-301792266.322755,-2927596479.265269,+1570753192.044847,-699097013.264964,-1271345792.958979
940000000.000,+3667120777.557921,-305037344.648027,-2959076009.599742,+1587643012.143723,-706614185.363124,-1285016177.842860
950000000.000,+3706132699.440550,-308282422.973298,-2990555539.934215,+1604532832.242600,-714131357.461284,-1298686562.726740
960000000.000,+3745144621.323180,-311527501.298570,-3022035070.268687,+1621422652.341477,-721648529.559444,-1312356947.610621
970000000.000,+3784156543.205809,-314772579.623841,-3053514600.603160,+1638312472.440354,-729165701.657604,-1326027332.494502
980000000.000,+3823168465.088439,-318017657.949113,-3084994130.937633,+1655202292.539231,-736682873.755763,-1339697717.378382
990000000.000,+3862180386.971068,-321262736.274385,-3116473661.272105,+1672092112.638108,-744200045.853923,-1353368102.262263
1000000000.000,+3901192308.853697,-324507814.599656,-3147953191.606578,+1688981932.736985,-751717217.952083,-1367038487.146143
1010000000.000,+3940204230.736327,-327752892.924928,-3179432721.941051,+1705871752.835862,-759234390.050243,-1380708872.030024
1020000000.000,+3979216152.618956,-330997971.250199,-3210912252.275523,+1722761572.934739,-766751562.148403,-1394379256.913905
1030000000.000,+4018228074.501585,-334243049.575471,-3242391782.609996,+1739651393.033616,-774268734.246562,-1408049641.797785
1040000000.000,+4057239996.384215,-337488127.900743,-3273871312.944468,+1756541213.132493,-781785906.344722,-1421720026.681666
1050000000.000,+4096251918.266844,-340733206.226014,-3305350843.278941,+1773431033.231370,-789303078.442882,-1435390411.565547
1060000000.000,+4135263840.149474,-343978284.551286,-3336830373.613414,+1790320853.330247,-796820250.541042,-1449060796.449427
1070000000.000,+4174275762.032103,-347223362.876557,-3368309903.947886,+1807210673.429124,-804337422.639202,-1462731181.333308
1080000000.000,+4213287683.914732,-350468441.201829,-3399789434.282359,+1824100493.528001,-811854594.737361,-1476401566.217188
1090000000.000,+4252299605.797362,-353713519.527101,-3431268964.616832,+1840990313.626878,-819371766.835521,-1490071951.101069
1100000000.000,+4291311527.679991,-356958597.852372,-3462748494.951304,+1857880133.725755,-826888938.933681,-1503742335.984950
1110000000.000,+4330323453.884152,-360203676.177644,-3494228025.285777,+1874769953.824632,-834406111.031841,-1517412720.868830
1120000000.000,+4369335380.535153,-363448754.502915,-3525707555.620250,+1891659773.923509,-841923283.130000,-1531083105.752711
1130000000.000,+4408347307.186154,-366693832.828187,-3557187085.954722,+1908549594.022386,-849440455.228160,-1544753490.636591
1140000000.000,+4447359233.837155,-369938911.153459,-3588666616.289195,+1925439414.121263,-856957627.326320,-1558423875.520472
1150000000.000,+4486371160.488156,-373183989.478730,-3620146146.623668,+1942329234.220140,-864474799.424480,-1572094260.404353
1160000000.000,+4525383087.139157,-376429067.804002,-3651625676.958140,+1959219054.319016,-871991971.522640,-1585764645.288233
1170000000.000,+4564395013.790158,-379674146.129273,-3683105207.292613,+1976108874.417893,-879509143.620799,-1599435030.172114
1180000000.000,+4603406940.441159,-382919224.454545,-3714584737.627086,+1992998694.516770,-887026315.718959,-1613105415.055995
1190000000.000,+4642418867.092160,-386164302.779817,-3746064267.961558,+2009888514.615647,-894543487.817119,-1626775799.939875
1200000000.000,+4681430793.743161,-389409381.105088,-3777543798.296031,+2026778334.714524,-902060659.915279,-1640446184.823756
