Time,Kinetic_Energy,Max_Velocity,Weighted_Energy,Quartic_Dissipation,VSS_Energy,Step
0.0093,3368329780.636282,39.810023701661855,4367384716.234074,1998109592.447195,999054935.5977918,93000
0.0094,3368329813.550865,39.80480228677106,4367104671.559423,1997549434.5679333,998774858.0085578,94000
0.0095,3368329849.2463894,39.79950137105547,4366821934.816074,1996983886.9985626,998492085.5696851,95000
0.0096,3368329887.7326217,39.79412151163723,4366536515.224145,1996412968.1598608,998206627.4915229,96000
0.0097,3368329929.0194945,39.78866327134597,4366248422.083908,1995836696.6325932,997918493.0644145,97000
0.0098,3368329973.116995,39.78312721862856,4365957664.775123,1995255091.1563766,997627691.6581275,98000
0.009899999999999999,3368330020.0352297,39.77751392745705,4365664252.756607,1994668170.6287203,997334232.7213784,99000
0.01,3368330069.7844133,39.771823977235314,4365368195.565728,1994075954.1039991,997038125.781315,100000
0.0101,3368330122.374818,39.76605795270589,4365069502.817786,1993478460.7923512,996739380.4429674,101000
0.010199999999999999,3368330177.8168554,39.76021644385665,4364768184.205631,1992875710.0587356,996438006.3887768,102000
0.0103,3368330236.1210318,39.754300045827684,4364464249.499081,1992267721.4218416,996134013.3780497,103000
0.0104,3368330297.297946,39.748309358816044,4364157708.544371,1991654514.553024,995827411.246425,104000
0.010499999999999999,3368330361.3582854,39.74224498798151,4363848571.263635,1991036109.2752495,995518209.9053487,105000
0.0106,3368330428.3128533,39.7361075433512,4363536847.65441,1990412525.5620654,995206419.3415569,106000
0.0107,3368330498.1725254,39.7298976397244,4363222547.78904,1989783783.5364766,994892049.6165146,107000
0.010799999999999999,3368330570.948306,39.72361589657939,4362905681.814225,1989149903.4699514,994575110.8659192,108000
0.0109,3368330646.6512694,39.71726293797486,4362586259.950385,1988510905.7812552,994255613.2991166,109000
0.011,3368330725.2926006,39.71113691377296,4362264292.491193,1987866811.0354316,993933567.1985922,110000
0.011099999999999999,3368330806.8835807,39.705416418377446,4361939789.802995,1987217639.942689,993608982.9194142,111000
0.0112,3368330891.4355817,39.69962222106902,4361612762.324266,1986563413.357306,993281870.8886857,112000
0.0113,3368330978.9600706,39.69375493014553,4361283220.56507,1985904152.2765374,992952241.6049987,113000
0.011399999999999999,3368331069.468618,39.68781515864495,4360951175.106504,1985239877.839522,992620105.6378872,114000
