Time,x1,y1,x2,y2,x3,y3,E_kin,E_pot,E_vac,E_total,Drift_pct
830000000.000,+3237989636.84899759,-269341483.07003886,-2612801175.92054272,+1401854991.05607700,-623925292.28336656,-1134641944.12017298,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
840000000.000,+3277001558.73162699,-272586561.39531046,-2644280706.25501537,+1418744811.15495396,-631442464.38152635,-1148312329.00405359,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
850000000.000,+3316013480.61425638,-275831639.72058207,-2675760236.58948803,+1435634631.25383091,-638959636.47968614,-1161982713.88793421,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
860000000.000,+3355025402.49688578,-279076718.04585367,-2707239766.92396069,+1452524451.35270786,-646476808.57784593,-1175653098.77181482,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
870000000.000,+3394037324.37951517,-282321796.37112528,-2738719297.25843334,+1469414271.45158482,-653993980.67600572,-1189323483.65569544,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
880000000.000,+3433049246.26214457,-285566874.69639689,-2770198827.59290600,+1486304091.55046177,-661511152.77416551,-1202993868.53957605,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
890000000.000,+3472061168.14477396,-288811953.02166849,-2801678357.92737865,+1503193911.64933872,-669028324.87232530,-1216664253.42345667,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
900000000.000,+3511073090.02740335,-292057031.34694010,-2833157888.26185131,+1520083731.74821568,-676545496.97048509,-1230334638.30733728,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
910000000.000,+3550085011.91003275,-295302109.67221171,-2864637418.59632397,+1536973551.84709263,-684062669.06864488,-1244005023.19121790,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
920000000.000,+3589096933.79266214,-298547187.99748331,-2896116948.93079662,+1553863371.94596958,-691579841.16680467,-1257675408.07509851,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
930000000.000,+3628108855.67529154,-301792266.32275492,-2927596479.26526928,+1570753192.04484653,-699097013.26496446,-1271345792.95897913,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
940000000.000,+3667120777.55792093,-305037344.64802653,-2959076009.59974194,+1587643012.14372349,-706614185.36312425,-1285016177.84285975,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
950000000.000,+3706132699.44055033,-308282422.97329813,-2990555539.93421459,+1604532832.24260044,-714131357.46128404,-1298686562.72674036,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
960000000.000,+3745144621.32317972,-311527501.29856974,-3022035070.26868725,+1621422652.34147739,-721648529.55944383,-1312356947.61062098,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
970000000.000,+3784156543.20580912,-314772579.62384135,-3053514600.60315990,+1638312472.44035435,-729165701.65760362,-1326027332.49450159,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
980000000.000,+3823168465.08843851,-318017657.94911295,-3084994130.93763256,+1655202292.53923130,-736682873.75576341,-1339697717.37838221,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
990000000.000,+3862180386.97106791,-321262736.27438456,-3116473661.27210522,+1672092112.63810825,-744200045.85392320,-1353368102.26226282,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
1000000000.000,+3901192308.85369730,-324507814.59965616,-3147953191.60657787,+1688981932.73698521,-751717217.95208299,-1367038487.14614344,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
